months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_model,auto_year,fraud_reported,auto_make_1,auto_make_2,auto_make_3,auto_make_4,auto_make_5,auto_make_6,auto_make_7,auto_make_8,auto_make_9,auto_make_10,auto_make_11,auto_make_12,auto_make_13,incident_city_1,incident_city_2,incident_city_3,incident_city_4,incident_city_5,incident_city_6,auto_make,incident_city,fraud_rate
328,48,521585,2014-10-17,2,250/500,1000,1406.91,0,466132,1,4,2,17,0,53300,0,2015-01-25,2,2,0,3,4,996,5,1,1,1,2,1,71610,6510,13020,52080,1,2004,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,10,1,0.26881720430107525
228,42,342868,2006-06-27,1,250/500,2000,1197.22,5000000,468176,1,4,6,15,2,0,0,2015-01-21,3,1,1,3,5,628,8,1,0,0,0,0,5070,780,780,3510,12,2007,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,8,5,0.5714285714285714
134,29,687698,2000-09-06,2,100/300,2000,1413.14,5000000,430632,0,6,11,2,3,35100,0,2015-02-22,0,1,1,3,1,685,7,3,0,2,3,0,34650,7700,3850,23100,30,2007,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4,1,0.14285714285714285
256,41,227811,1990-05-25,0,250/500,2000,1415.74,6000000,608117,0,6,1,2,4,48900,-62400,2015-01-10,2,0,0,3,2,669,5,1,0,1,2,0,63400,6340,6340,50720,34,2014,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,1,0.5
228,44,367455,2014-06-06,0,500/1000,1000,1583.91,6000000,610706,1,0,11,2,4,66000,-46000,2015-02-17,3,1,1,3,1,220,20,1,0,0,1,0,6500,1300,650,4550,31,2009,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0.0
256,39,104594,2006-10-12,2,250/500,1000,1351.1,0,478456,0,6,12,3,4,0,0,2015-01-02,0,1,0,1,4,891,19,3,0,0,2,0,64100,6410,6410,51280,3,2003,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,10,1,0.26881720430107525
137,34,413978,2000-06-04,1,250/500,1000,1333.35,0,441716,1,6,9,2,0,0,-77000,2015-01-13,0,0,1,3,1,539,0,3,0,0,0,0,78650,21450,7150,50050,29,2012,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,9,6,0.26881720430107525
165,37,429027,1990-02-03,0,100/300,1000,1137.03,0,603195,1,0,12,0,4,0,0,2015-02-27,0,0,2,3,5,276,23,3,0,2,2,1,51590,9380,9380,32830,5,2015,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,1,0.18446601941747573
27,33,485665,1997-02-05,0,100/300,500,1442.99,0,601734,0,6,7,9,3,0,0,2015-01-30,2,0,2,3,6,429,21,1,0,1,1,1,27700,2770,2770,22160,9,2012,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,12,1,0.21978021978021978
212,42,636550,2011-07-25,0,100/300,500,1315.68,0,600983,1,6,8,4,5,0,-39300,2015-01-05,2,1,2,2,0,224,14,1,0,2,1,0,42300,4700,4700,32900,1,1996,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,10,2,0.21978021978021978
